scenario,backend,queues,pps_per_queue,ring,run,published,observed,gaps,achieved_mpps,copy_us,poll_period_us,cores_poll,cores_prod,cores_other
paced,gpu,1,50000,1024,0,100004,100004,0,0.050,,2.288,0.000,0.994,0.000
paced,gpu,1,50000,1024,1,100005,100005,0,0.050,,3.004,0.000,0.993,0.000
paced,gpu,1,50000,1024,2,100004,100004,0,0.050,,3.003,0.000,0.993,0.000
paced,gpu,1,50000,1024,3,100005,100005,0,0.050,,2.977,0.000,0.937,0.000
paced,gpu,1,50000,1024,4,100003,100003,0,0.050,,2.734,0.000,0.993,0.000
unpaced,gpu,1,0,64,0,12288,12288,0,0.012,,3.353,0.000,0.987,0.000
unpaced,gpu,1,0,64,1,532224,532224,0,0.530,,1.229,0.000,0.999,0.000
unpaced,gpu,1,0,64,2,505024,505024,0,0.503,,1.270,0.000,0.987,0.000
unpaced,gpu,1,0,64,3,440256,440256,0,0.440,,1.324,0.000,0.987,0.000
unpaced,gpu,1,0,64,4,587776,587776,0,0.587,,1.087,0.000,0.999,0.000
paced,cpu,1,50000,1024,0,100004,100004,0,0.050,,0.002,0.994,0.987,0.000
paced,cpu,1,50000,1024,1,100004,100004,0,0.050,,0.002,0.994,0.994,0.000
paced,cpu,1,50000,1024,2,100004,100004,0,0.050,,0.002,0.994,0.994,0.000
paced,cpu,1,50000,1024,3,100004,100004,0,0.050,,0.002,0.987,0.994,0.000
paced,cpu,1,50000,1024,4,100004,100004,0,0.050,,0.002,0.994,0.994,0.000
unpaced,cpu,1,0,64,0,20022493,20022493,0,20.021,,0.028,1.000,0.987,0.000
unpaced,cpu,1,0,64,1,20067455,20067455,0,20.066,,0.027,1.000,0.987,0.000
unpaced,cpu,1,0,64,2,20497427,20497427,0,20.496,,0.027,1.000,0.987,0.000
unpaced,cpu,1,0,64,3,19773776,19773776,0,19.772,,0.027,1.000,0.987,0.000
unpaced,cpu,1,0,64,4,19913344,19913344,0,19.912,,0.027,0.987,0.987,0.000
paced,gpu,2,50000,1024,0,200011,200011,0,0.100,,,0.000,1.987,0.000
paced,gpu,2,50000,1024,1,200009,200009,0,0.100,,,0.000,1.993,0.000
paced,gpu,2,50000,1024,2,200007,200007,0,0.100,,,0.000,1.980,0.000
paced,gpu,2,50000,1024,3,200011,200011,0,0.100,,,0.000,1.987,0.000
paced,gpu,2,50000,1024,4,200011,200011,0,0.100,,,0.000,1.987,0.000
unpaced,gpu,2,0,64,0,24704,24704,0,0.025,,,0.000,1.986,0.000
unpaced,gpu,2,0,64,1,652800,652800,0,0.650,,,0.000,1.998,0.000
unpaced,gpu,2,0,64,2,512320,512320,0,0.511,,,0.000,1.974,0.000
unpaced,gpu,2,0,64,3,249408,249408,0,0.249,,,0.000,1.974,0.000
unpaced,gpu,2,0,64,4,1163456,1163456,0,1.158,,,0.000,1.998,0.000
paced,cpu,2,50000,1024,0,200011,200011,0,0.100,,,1.931,1.918,0.000
paced,cpu,2,50000,1024,1,200201,200201,0,0.100,,,1.687,1.787,0.000
paced,cpu,2,50000,1024,2,199791,199791,0,0.100,,,1.899,1.731,0.000
paced,cpu,2,50000,1024,3,200094,200094,0,0.100,,,1.694,1.520,0.000
paced,cpu,2,50000,1024,4,200026,200026,0,0.100,,,1.781,1.762,0.000
unpaced,cpu,2,0,64,0,29076196,29076196,0,29.059,,,1.912,1.837,0.000
unpaced,cpu,2,0,64,1,30638581,30638581,0,30.625,,,1.924,1.937,0.000
unpaced,cpu,2,0,64,2,30284203,30284203,0,30.214,,,1.974,1.936,0.000
unpaced,cpu,2,0,64,3,30890013,30890013,0,30.915,,,1.960,1.922,0.000
unpaced,cpu,2,0,64,4,27896838,27896838,0,27.873,,,1.861,1.911,0.000
paced,gpu,3,50000,1024,0,300005,300005,0,0.150,,,0.000,2.817,0.000
